Reaction	Count
['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]']	1279
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]']	1224
['[H][C]([H])[C]([H])[H]'] -> ['[H][C]([H])=[C]([H])[H]']	217
['[H][C]([H])=[C]([H])[H]'] -> ['[H][C]([H])[C]([H])[H]']	182
['[O][C]1[O][Li][O]1'] -> ['[O]=[C]1[O][Li][O]1']	142
['[O]=[C]1[O][Li][O]1'] -> ['[O][C]1[O][Li][O]1']	140
['[Li]1[O][C]2[O][Li][O]12'] -> ['[Li]1[O][C]23[O][Li]2[O]13']	94
['[O][C]1[O][Li][O]1'] -> ['[O][C]12[O][Li]1[O]2']	93
['[Li]1[O][C]23[O][Li]2[O]13'] -> ['[Li]1[O][C]2[O][Li][O]12']	91
['[O][C]12[O][Li]1[O]2'] -> ['[O][C]1[O][Li][O]1']	89
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2([Li][O]2)[O][C]1([H])[H]']	72
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	70
['[H][C]1([H])[O][C]2([Li][O]2)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	69
['[H][C]1([H])[O][C]([O]([Li])[Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2([O]([Li])[Li])[O][C]12([H])[H]']	68
['[Li][O][C]12[O][Li]1[O]2'] -> ['[Li][O][C]1[O][Li][O]1']	68
['[Li][O][C]1[O][Li][O]1'] -> ['[Li][O][C]12[O][Li]1[O]2']	66
['[Li]1[O][C]23[O][Li]2[O]13'] -> ['[Li][O][C]12[O][Li]1[O]2']	66
['[H][C]1([H])[O][C]2([O]([Li])[Li])[O][C]12([H])[H]'] -> ['[H][C]1([H])[O][C]([O]([Li])[Li])[O][C]1([H])[H]']	63
['[Li][O][C]12[O][Li]1[O]2'] -> ['[Li]1[O][C]23[O][Li]2[O]13']	63
['[H][C]1([H])[O][C]([O][Li][O][C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	55
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O][C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]']	55
['[H][C]1([H])[O][C]2([O][Li])[O][C]12([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	52
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2([O][Li])[O][C]12([H])[H]']	52
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li]']	35
['[O]=[C]1[O][Li][O]1'] -> ['[O]=[C]12[O][Li]1[O]2']	31
['[O]=[C]12[O][Li]1[O]2'] -> ['[O]=[C]1[O][Li][O]1']	28
['[O][C]12[O][Li]1[O]2'] -> ['[O]=[C]1[O][Li][O]1']	25
['[O]=[C]12[O][Li]1[O]2'] -> ['[O][C]12[O][Li]1[O]2']	25
['[O][C]12[O][Li]1[O]2'] -> ['[O]=[C]12[O][Li]1[O]2']	24
['[O]=[C]1[O][Li][O]1'] -> ['[O][C]12[O][Li]1[O]2']	23
['[H][C]1([H])[O][C]([O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]']	18
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2[O][Li][O]2[C]1([H])[H]']	18
['[Li][O][C]1[O][Li][O]1'] -> ['[Li]1[O][C]2[O][Li][O]12']	18
['[Li]1[O][C]23[O][Li]2[O]13'] -> ['[Li][O]1[Li]2[O][C]21[O]']	17
['[Li]1[Li][O]1'] -> ['[Li][O][Li]']	16
['[Li][O][C]([O])[O]'] -> ['[Li][O][C]([O])=[O]']	16
['[Li][O]1[Li]2[O][C]21[O]'] -> ['[Li]1[O][C]23[O][Li]2[O]13']	16
['[Li][O][Li]'] -> ['[Li]1[Li][O]1']	15
['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O]([Li])[C]1([H])[H]']	15
['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O]=[C](=[O])[O]([Li])[C]1([H])[H]']	15
['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	15
['[Li]1[O][C]2[O][Li][O]12'] -> ['[Li][O][C]12[O][Li]1[O]2']	15
['[Li]1[O][C]2[O][Li][O]12'] -> ['[Li][O][C]1[O][Li][O]1']	15
['[Li][O][C]12[O][Li]1[O]2'] -> ['[Li]1[O][C]2[O][Li][O]12']	15
['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O]([Li])[C]2(=[O])[O][C]12([H])[H]']	14
['[H][C]1([H])[O][C]2[O][Li][O]2[C]1([H])[H]'] -> ['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][O]1']	14
['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][O]1'] -> ['[H][C]([H])[C]([H])[H]', '[O][C]1[O][Li][O]1']	13
['[H][C]1([H])[O][C]2([O][Li][Li])[O][C]12([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]']	13
['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]', '[H][C]1([H])[O][C]([O])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O]2[C](=[O])[O][C]([H])([H])[C]2([H])[H])[O][C]1([H])[H]']	12
['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2([O][Li][Li])[O][C]12([H])[H]']	12
