
# production run
fix		1 all nvt temp 300 300 10
fix 		2 all reaxff/species 1 2 20 species_R1_main.out cutoff 1 1 0.3 cutoff 1 2 0.3 cutoff 1 4 0.3 		cutoff 2 2 0.3 cutoff 2 4 0.3 cutoff 4 4 0.3 cutoff 3 3 0.8 cutoff 3 4 0.55 cutoff 3 1*2 0.3
WARNING: Resetting reneighboring criteria to 'delay 0 every 2 check no' due to fix reaxff/species averaging of bond data (src/REAXFF/fix_reaxff_species.cpp:128)
timestep	0.1
run		25000

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:

- pair reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 number =  {4--5},
 pages =   {245--259}
}

- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 pages =   {245--259}
}

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 2 steps, delay = 0 steps, check = no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Per MPI rank memory allocation (min/avg/max) = 33.5 | 34.09 | 34.73 Mbytes
   Step          Temp          PotEng         KinEng         Press          Volume        Density    
         0   300           -62032.95       571.42129      166060.59      42875          0.40123665   
       100   736.1279      -65575.555      1402.1305      52318.012      42875          0.40123665   
       200   970.63226     -67433.112      1848.7998      45154.228      42875          0.40123665   
       300   622.04285     -67858.512      1184.8284      8311.3508      42875          0.40123665   
       400   350.8984      -67948.789      668.36938     -6404.9648      42875          0.40123665   
       500   371.69423     -68314.824      707.97997     -6715.8747      42875          0.40123665   
       600   293.92013     -68415.717      559.84073      8707.1602      42875          0.40123665   
       700   289.29194     -68518.784      551.02525      8427.252       42875          0.40123665   
       800   300.00996     -68591.167      571.44026      5075.755       42875          0.40123665   
       900   308.00275     -68584.493      586.66442     -6091.8055      42875          0.40123665   
      1000   283.73009     -68546.46       540.43137     -4330.0085      42875          0.40123665   
      1100   333.99368     -68705.385      636.17033     -6848.5759      42875          0.40123665   
      1200   294.52259     -68718.81       560.98825      6879.0863      42875          0.40123665   
      1300   285.13416     -68748.995      543.10576      6813.5437      42875          0.40123665   
      1400   318.42684     -68809.128      606.51958     -694.12807      42875          0.40123665   
      1500   298.09485     -68739.164      567.79247     -5361.3856      42875          0.40123665   
      1600   325.92613     -68795.003      620.80376     -6678.0485      42875          0.40123665   
      1700   320.05822     -68875.196      609.62694     -6115.4494      42875          0.40123665   
      1800   280.34848     -68880.797      533.99029     -2298.2822      42875          0.40123665   
      1900   277.41742     -68883.882      528.4074      -405.67855      42875          0.40123665   
      2000   340.94108     -68940.177      649.4033      -3009.0586      42875          0.40123665   
      2100   303.82565     -68850.951      578.70814     -6590.1225      42875          0.40123665   
      2200   297.37143     -68893.785      566.41455     -11126.975      42875          0.40123665   
      2300   281.00352     -68936.489      535.23797     -6342.0149      42875          0.40123665   
      2400   276.02259     -68954.158      525.75061     -2635.9536      42875          0.40123665   
      2500   303.06955     -68989.572      577.26797     -299.1696       42875          0.40123665   
      2600   302.568       -68957.237      576.31264     -2683.5742      42875          0.40123665   
      2700   317.97591     -68981.69       605.66068     -3666.4559      42875          0.40123665   
      2800   290.84517     -68979.386      553.98375     -9058.7034      42875          0.40123665   
