
# production run
fix		1 all npt temp 300.0 300.0 10 iso 1.0 1.0 10
fix 		2 all reaxff/species 1 2 20 species_R2_main.out cutoff 1 1 0.3 cutoff 1 2 0.3 cutoff 1 4 0.3 		cutoff 2 2 0.3 cutoff 2 4 0.3 cutoff 4 4 0.3 cutoff 3 3 0.8 cutoff 3 4 0.55 cutoff 3 1*2 0.3
WARNING: Resetting reneighboring criteria to 'delay 0 every 2 check no' due to fix reaxff/species averaging of bond data (src/REAXFF/fix_reaxff_species.cpp:128)
timestep	0.1
run		25000

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:

- pair reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 number =  {4--5},
 pages =   {245--259}
}

- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 pages =   {245--259}
}

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 2 steps, delay = 0 steps, check = no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Per MPI rank memory allocation (min/avg/max) = 60.76 | 62.26 | 63.86 Mbytes
   Step          Temp          PotEng         KinEng         Press          Volume        Density    
         0   300           -62032.95       571.42129      166060.59      42875          0.40123665   
       100   396.04991     -67992.763      754.37116      1.4414821      49529.199      0.3473309    
       200   376.00247     -68079.676      716.18605     -11.956872      49768.706      0.34565941   
       300   306.36727     -68145.813      583.54926      31.314435      47583.898      0.36153031   
       400   318.59964     -68311.881      606.84872     -12.724793      47954.404      0.35873705   
       500   302.6966      -68352.289      576.5576      -18.531797      47772.202      0.36010526   
       600   285.70724     -68403.953      544.19733      33.323413      45990.661      0.37405467   
       700   306.21819     -68524.204      583.26531     -32.021102      46186.766      0.37246646   
       800   299.16129     -68542.772      569.82377      54.960153      45794.412      0.37565765   
       900   302.71911     -68575.542      576.60048     -69.84903       43427.66       0.39613051   
      1000   305.82942     -68658.631      582.5248      -7.8250884      42641.992      0.40342912   
      1100   320.26904     -68723.282      610.02849     -926.93046      41994.767      0.40964679   
      1200   301.03692     -68721.331      573.39635     -4191.8828      40993.348      0.41965397   
      1300   325.18597     -68818.058      619.39395     -1495.8415      40666.916      0.42302252   
      1400   328.29037     -68867.623      625.30703     -263.22481      40386.174      0.42596314   
      1500   302.94782     -68887.076      577.0361       499.87678      39550.888      0.43495917   
      1600   319.18977     -68960.775      607.97276     -313.64957      39824.254      0.43197347   
      1700   315.70472     -68967.328      601.33465      246.01759      39939.873      0.43072298   
      1800   295.63349     -68904.15       563.10424      2126.6231      39381.218      0.43683315   
      1900   326.13448     -68923.575      621.20062      1601.4985      39349.182      0.43718879   
      2000   325.01705     -68897.319      619.07221     -250.58262      38831.414      0.44301816   
      2100   312.08722     -68880.874      594.44427     -123.39154      38252.338      0.4497247    
      2200   313.9588      -68926.163      598.00914     -1717.3525      38111.993      0.45138079   
      2300   318.70741     -68965.142      607.05399      185.82368      37284.493      0.46139882   
      2400   287.62917     -68948.93       547.8581      -1499.5244      36244.046      0.47464407   
      2500   314.3665      -69019.53       598.78569     -668.55957      36082.44       0.4767699    
      2600   304.44558     -69021.651      579.88895     -1156.8101      35548.346      0.48393311   
      2700   302.11141     -69047.874      575.44296      116.04889      35194.835      0.48879392   
      2800   304.36869     -69079.3        579.74249      1003.0167      35470.244      0.48499867   
      2900   307.08538     -69096.963      584.91708     -2819.1267      34858.977      0.49350333   
      3000   281.48404     -69083.158      536.15325     -2175.832       34224.474      0.50265262   
      3100   287.44244     -69100.898      547.50243     -1127.5693      34136.771      0.50394402   
      3200   305.69927     -69128.494      582.27691      1078.6469      33688.11       0.51065558   
      3300   288.80351     -69140.715      550.0949       754.97957      33081.939      0.52001248   
      3400   286.15157     -69179.432      545.04365      1772.9776      33093.453      0.51983156   
      3500   299.11398     -69207.408      569.73366     -1492.1468      32663.731      0.52667042   
      3600   287.62392     -69204.163      547.84811     -1952.7666      32504.578      0.52924918   
      3700   289.1028      -69241.725      550.66499     -1630.3523      33031.938      0.52079964   
      3800   306.76149     -69287.229      584.30015     -853.22609      33181.837      0.51844692   
      3900   293.22036     -69291.614      558.50785     -504.22322      33129.831      0.51926077   
      4000   297.68195     -69313.562      567.006        112.12552      33650.36       0.51122845   
      4100   304.01763     -69337.59       579.07381      912.87218      33977.563      0.50630533   
      4200   300.70388     -69357.724      572.76199      667.92593      33790.153      0.50911344   
      4300   293.63025     -69369.777      559.28858     -3160.3684      34262.13       0.50210017   
      4400   314.54498     -69426.725      599.12566      1948.5917      33930.206      0.50701199   
      4500   315.68121     -69457.691      601.28987      903.29101      33504.458      0.51345469   
      4600   294.349       -69455.501      560.65762     -573.63145      33097.417      0.51976929   
      4700   322.26768     -69520.351      613.83538      650.80529      32278.423      0.5329573    
      4800   323.19059     -69568.852      615.59327     -398.37745      31247.327      0.55054378   
      4900   298.34488     -69563.059      568.26871     -2279.5894      30730.344      0.55980568   
      5000   301.34096     -69583.202      573.97547     -2297.3395      30149.814      0.57058465   
      5100   301.8666      -69573.088      574.97668     -1834.3127      29819.798      0.57689933   
      5200   316.78602     -69587.075      603.39426      647.28673      30052.003      0.57244175   
      5300   316.49605     -69638.032      602.84194      1010.0394      30349.968      0.56682173   
      5400   310.17329     -69656.471      590.79873     -2068.1409      30847.571      0.5576783    
      5500   296.97366     -69666.037      565.6569       128.11993      31229.626      0.55085583   
      5600   304.58666     -69687.918      580.15768      1680.8057      31324.178      0.54919306   
      5700   306.22138     -69669.261      583.27138     -1671.0066      31273.13       0.55008953   
      5800   324.93907     -69686.164      618.92367      1088.8824      31219.69       0.55103114   
      5900   317.10159     -69727.802      603.99532      1736.8735      31024.844      0.55449179   
      6000   302.08868     -69720.438      575.39967      1155.6024      30831.137      0.55797557   
      6100   293.78103     -69721.001      559.57578     -985.53681      30922.884      0.55632008   
      6200   287.63493     -69708.523      547.86907     -2779.6621      30913.722      0.55648496   
      6300   300.78684     -69691.927      572.92001      15.369214      31064.911      0.55377662   
      6400   297.98504     -69675.007      567.58331      2031.6067      31113.225      0.55291669   
      6500   305.3342      -69697.011      581.58154     -293.42186      30890.095      0.5569106    
      6600   285.84986     -69696.847      544.46898     -1602.732       30628.925      0.56165932   
      6700   278.72516     -69696.356      530.8983      -803.86003      30465.715      0.56466822   
      6800   313.53747     -69711.055      597.20662      628.05071      30053.804      0.57240745   
      6900   325.12079     -69731.254      619.26981      1717.7183      29967.416      0.57405755   
      7000   310.11179     -69754.946      590.68159      1813.4753      29944.937      0.57448849   
      7100   299.12606     -69784.616      569.75667     -367.06726      29564.648      0.5818781    
      7200   281.73523     -69780.71       536.63169     -906.79668      29702.7        0.57917365   
      7300   285.15221     -69765.565      543.14013     -881.30223      29968.719      0.57403258   
      7400   313.22023     -69788.735      596.60236      2743.7097      29881.395      0.57571011   
      7500   304.16854     -69799.886      579.36126     -1744.5425      29830.838      0.57668581   
      7600   299.73549     -69820.778      570.91746     -1240.0853      29545.776      0.58224976   
      7700   303.44366     -69840.7        577.98055      1705.7186      28797.84       0.59737194   
      7800   305.261       -69857.931      581.4421      -1380.4272      28310.027      0.60766531   
      7900   289.63491     -69857.217      551.6785       1415.405       27749.489      0.61994012   
      8000   284.12375     -69887.759      541.18121     -768.08797      27164.771      0.63328424   
      8100   294.63595     -69897.075      561.20418     -2777.2834      26849.023      0.64073174   
      8200   308.93352     -69868.557      588.4373       1462.5665      26804.166      0.64180402   
      8300   314.88803     -69886.712      599.77908      3487.9287      26853.357      0.64062834   
      8400   297.52371     -69887.307      566.7046       1343.705       27236.784      0.63160987   
      8500   304.34441     -69908.236      579.69626     -396.02463      27648.945      0.62219449   
      8600   305.63941     -69915.356      582.16288     -578.03024      27737.056      0.62021801   
      8700   305.03257     -69949.328      581.00701     -1645.3555      28112.31       0.61193908   
      8800   291.01196     -69949.517      554.30143      822.20116      28346.785      0.60687733   
      8900   309.25644     -69958.176      589.05237      4118.5064      28172.845      0.61062421   
      9000   320.44885     -69971.456      610.37098     -111.35624      28022.504      0.61390023   
      9100   317.73833     -70007.084      605.20815     -1833.4663      27659.964      0.62194663   
      9200   314.00519     -70032.048      598.0975       275.01343      27335.352      0.62933234   
      9300   309.75114     -70058.937      589.99466     -938.22163      27413.937      0.6275283    
      9400   296.71493     -70073.051      565.16409      1781.9038      27594.411      0.62342411   
      9500   302.96022     -70099.98       577.05973     -4104.9992      27780.881      0.61923958   
      9600   299.78922     -70122.019      571.0198       1443.6977      27956.514      0.6153493    
      9700   283.76618     -70110.368      540.50013      676.14395      28219.737      0.60960954   
      9800   308.70775     -70134.001      588.00727     -1256.6732      28484.7        0.603939     
      9900   298.02861     -70115.635      567.66631      985.36873      28566.587      0.60220778   
     10000   313.98694     -70152.292      598.06274     -448.69583      28316.786      0.60752027   
     10100   290.39056     -70145.023      553.11783     -3458.6878      27902.522      0.61654002   
     10200   289.11307     -70148.897      550.68454     -1559.9256      27613.841      0.62298544   
     10300   297.71218     -70145.536      567.06359      2523.1022      27539.666      0.62466339   
     10400   314.54859     -70157.07       599.13254      1430.7187      27719.922      0.62060136   
     10500   300.91423     -70148.404      573.16265     -180.45062      27969.048      0.61507355   
     10600   293.01591     -70140.285      558.11842     -1381.6393      28128.138      0.61159473   
     10700   314.00624     -70174.604      598.0995       280.81662      28236.322      0.6092515    
     10800   307.07356     -70197.572      584.89455      4315.2661      28201.372      0.61000653   
     10900   295.27041     -70207.712      562.41266      1888.9381      28122.485      0.61171769   
     11000   297.84657     -70204.09       567.31957      1453.6412      27846.082      0.61778965   
     11100   305.35283     -70197.05       581.61703      1238.747       27700.832      0.62102904   
     11200   312.76278     -70216.826      595.73103      995.81674      27821.539      0.61833464   
     11300   298.84122     -70245.883      569.21411      1582.3333      28001.961      0.61435059   
     11400   289.34196     -70239.027      551.12052      1027.4027      28332.358      0.60718635   
     11500   303.15497     -70249.396      577.43067     -1992.6714      28406.145      0.60560914   
     11600   307.33913     -70237.946      585.4004       2404.2156      28484.71       0.60393878   
     11700   303.64093     -70222.798      578.35631     -1786.7792      28712.496      0.59914753   
     11800   291.88709     -70217.543      555.96832      1436.2181      28634.677      0.6007758    
     11900   296.01852     -70234.667      563.83761     -2647.7361      28388.112      0.60599384   
     12000   302.42325     -70243.423      576.03695      2536.0217      28055.074      0.61318751   
     12100   302.9524      -70252.082      577.04484     -1325.7749      27731.62       0.62033957   
     12200   286.04682     -70248.691      544.84413     -1351.0837      27636.464      0.62247548   
     12300   296.65192     -70252.57       565.04407      1988.0721      27495.115      0.62567555   
     12400   313.04714     -70252.73       596.27266     -2557.7628      27346.158      0.62908365   
     12500   304.66911     -70247.241      580.31472      3182.3955      27286.242      0.63046502   
     12600   302.0252      -70260.051      575.27875     -2258.2549      27557.04       0.62426957   
     12700   296.0905      -70252.879      563.97471      570.51291      27637.48       0.62245259   
     12800   297.13409     -70248.976      565.96248      1103.0132      27675.583      0.62159561   
     12900   301.86116     -70248.69       574.96632     -1077.8321      27631.293      0.62259199   
     13000   303.31334     -70253.993      577.73232      966.32391      27497.358      0.62562452   
     13100   299.8973      -70297.558      571.22567     -285.00342      27582.904      0.62368419   
     13200   294.22146     -70314.643      560.41469     -2139.1222      27727.532      0.62043102   
     13300   296.5251      -70322.597      564.80251      3677.4739      27662.458      0.62189056   
     13400   309.43859     -70338.713      589.39932     -3005.2085      27859.838      0.61748462   
     13500   301.08664     -70344.457      573.49105      1589.4459      27837.256      0.61798552   
     13600   284.01842     -70343.875      540.98057     -924.78759      27766.661      0.61955672   
     13700   293.02527     -70342.245      558.13626      606.31211      27582.133      0.62370163   
     13800   306.49729     -70337.039      583.79691     -635.06614      27428.017      0.62720617   
     13900   307.5562      -70344.194      585.81386      112.36027      27236.981      0.63160528   
     14000   299.84921     -70354.22       571.13407      690.54622      27055.501      0.6358419    
     14100   290.61087     -70346.668      553.53746     -1361.2423      27151.933      0.63358366   
     14200   305.32486     -70369.687      581.56374      1859.1756      27095.843      0.63489522   
     14300   296.01594     -70382.808      563.8327      -2385.3536      27308.026      0.62996209   
     14400   292.99114     -70413.795      558.07125      3838.4446      27451.45       0.62667077   
     14500   297.71372     -70416.672      567.06653     -3584.7174      27849.759      0.61770809   
     14600   304.03342     -70426.247      579.10389      1895.9171      28063.48       0.61300385   
     14700   286.16111     -70409.692      545.06183     -920.56019      28223.483      0.60952865   
     14800   290.69782     -70428.782      553.70307      874.00368      28062.12       0.61303355   
     14900   302.05891     -70440.078      575.34296     -1271.0437      27846.123      0.61778874   
     15000   307.41605     -70436.241      585.54692      432.68696      27731.05       0.62035232   
     15100   289.86015     -70418.053      552.10754      3377.6697      27845.504      0.61780247   
     15200   295.7769      -70440.519      563.3774      -2239.3958      28236.499      0.60924768   
     15300   297.82709     -70432.797      567.28247      1675.157       28421.1        0.60529048   
     15400   316.78189     -70440.319      603.38638     -1607.9648      28848.122      0.59633073   
     15500   298.68301     -70424.83       568.91277      1846.521       29215.559      0.58883081   
     15600   276.47101     -70405.614      526.60474     -1991.1499      29518.763      0.58278259   
     15700   289.50292     -70394.005      551.4271       2681.1923      29538.92       0.58238491   
     15800   303.9209      -70398.41       578.88957     -1802.6199      29607.614      0.58103368   
     15900   309.93725     -70404.846      590.34914     -981.39734      29695.5        0.57931409   
     16000   306.19213     -70429.263      583.21568      141.39762      30156.034      0.57046697   
     16100   295.3085      -70436.568      562.48522      642.51767      30661.936      0.56105464   
     16200   297.24411     -70432.209      566.17205     -1311.0617      30940.786      0.5559982    
     16300   307.69785     -70440.423      586.08367      2689.9613      31141.876      0.552408     
     16400   296.37756     -70432.812      564.5215      -4143.7242      31540.763      0.54542186   
     16500   279.79307     -70444.323      532.93239      1022.5562      31667.918      0.54323184   
     16600   292.49522     -70445.357      557.12665      1677.2006      31860.183      0.53995363   
     16700   303.64001     -70434.537      578.35455      1664.1295      31919.053      0.53895776   
     16800   300.52219     -70432.751      572.41592     -1974.9404      31858.529      0.53998166   
     16900   300.15998     -70451.654      571.726        3812.452       31917.503      0.53898393   
     17000   285.66356     -70453.68       544.11412     -2834.3522      32219.663      0.53392927   
     17100   278.85726     -70461.69       531.14992     -1664.7745      32147.628      0.53512568   
     17200   308.59054     -70478.211      587.78401      530.26795      31979.536      0.53793843   
     17300   311.81481     -70473.798      593.9254       104.03855      31901.229      0.5392589    
     17400   302.00093     -70490.948      575.23254     -885.6849       31770.942      0.54147029   
     17500   293.75128     -70492.354      559.51912      4877.9616      31649.032      0.543556     
     17600   302.29297     -70503.908      575.78878     -1670.0671      31665.021      0.54328154   
     17700   303.59056     -70495.2        578.26037      646.60337      31406.439      0.54775459   
     17800   314.28281     -70503.066      598.6263      -1560.1506      31265.346      0.55022648   
     17900   296.08837     -70490.949      563.97065      1687.3804      31247.657      0.55053795   
     18000   281.24744     -70475.927      535.70257     -2364.5136      31429.707      0.54734909   
     18100   302.49085     -70475.32       576.16571      4252.3765      31332.005      0.54905588   
     18200   312.63433     -70479.427      595.48637     -2607.0452      31415.029      0.54760481   
     18300   301.00364     -70486.107      573.33296     -1359.9956      31511.671      0.54592539   
     18400   290.26395     -70487.136      552.87667     -599.67035      31583.989      0.54467539   
     18500   291.59482     -70470.557      555.41162      1652.1167      31649.228      0.54355263   
     18600   307.81529     -70480.315      586.30736     -2142.8258      31735.645      0.54207252   
     18700   315.88491     -70509.1        601.67787      2521.8254      31583.78       0.54467899   
     18800   290.89372     -70498.323      554.07622     -1285.632       31678.14       0.54305654   
     18900   299.46553     -70515.813      570.40327      1408.5189      32009.375      0.53743697   
     19000   305.71969     -70531.636      582.31579     -2181.5296      32492.992      0.52943789   
