
# production run
fix		1 all nvt temp 315 315 10
fix 		2 all reaxff/species 1 2 20 species_R2_main.out cutoff 1 1 0.3 cutoff 1 2 0.3 cutoff 1 4 0.3 		cutoff 2 2 0.3 cutoff 2 4 0.3 cutoff 4 4 0.3 cutoff 3 3 0.8 cutoff 3 4 0.55 cutoff 3 1*2 0.3
WARNING: Resetting reneighboring criteria to 'delay 0 every 2 check no' due to fix reaxff/species averaging of bond data (src/REAXFF/fix_reaxff_species.cpp:128)
timestep	0.1
run		25000

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:

- pair reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 number =  {4--5},
 pages =   {245--259}
}

- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 pages =   {245--259}
}

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 2 steps, delay = 0 steps, check = no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Per MPI rank memory allocation (min/avg/max) = 33.5 | 34.09 | 34.73 Mbytes
   Step          Temp          PotEng         KinEng         Press          Volume        Density    
         0   315           -62032.95       599.99235      166091.05      42875          0.40123665   
       100   799.5867      -65608.511      1523.0029      48998.464      42875          0.40123665   
       200   1008.7842     -67404.213      1921.4692      49448.173      42875          0.40123665   
       300   656.64411     -67829.29       1250.7347      8053.5244      42875          0.40123665   
       400   378.06607     -67918.775      720.11667     -5447.7852      42875          0.40123665   
       500   384.27138     -68254.549      731.93616     -9748.0198      42875          0.40123665   
       600   320.38118     -68386.173      610.2421       7127.197       42875          0.40123665   
       700   294.20723     -68456.802      560.38759      10597.173      42875          0.40123665   
       800   313.29139     -68533.51       596.73789      6992.3896      42875          0.40123665   
       900   311.19924     -68493.198      592.75291     -5815.573       42875          0.40123665   
      1000   331.87586     -68502.691      632.13643     -7118.8201      42875          0.40123665   
      1100   349.48682     -68595.446      665.68069     -7634.2444      42875          0.40123665   
      1200   300.85868     -68598.227      573.05685      7246.1134      42875          0.40123665   
      1300   313.00792     -68685.012      596.19796      4458.6194      42875          0.40123665   
      1400   340.48665     -68748.301      648.53773     -1296.4674      42875          0.40123665   
      1500   327.10735     -68704.127      623.05368     -7697.2637      42875          0.40123665   
      1600   348.38462     -68755.188      663.58129     -7773.4429      42875          0.40123665   
      1700   341.467       -68815.251      650.40505     -4107.7769      42875          0.40123665   
      1800   287.91475     -68793.283      548.40206     -755.5379       42875          0.40123665   
      1900   317.08064     -68842.46       603.95542      663.40552      42875          0.40123665   
      2000   330.78783     -68810.062      630.06402     -2889.1646      42875          0.40123665   
      2100   338.95598     -68807.259      645.62222     -4895.4168      42875          0.40123665   
      2200   327.58479     -68848.932      623.96307     -8788.9351      42875          0.40123665   
      2300   297.63097     -68876.811      566.90891     -2732.1509      42875          0.40123665   
      2400   298.65419     -68916.382      568.85786     -515.89041      42875          0.40123665   
      2500   310.98443     -68924.353      592.34375      2593.9805      42875          0.40123665   
      2600   324.12586     -68918.382      617.37473     -3043.3558      42875          0.40123665   
      2700   325.2694      -68941.334      619.55286     -1342.191       42875          0.40123665   
      2800   309.51593     -68960.452      589.54664     -6626.3817      42875          0.40123665   
      2900   299.42748     -68973.058      570.33079     -3179.1412      42875          0.40123665   
      3000   313.46768     -68971.693      597.07368     -411.31998      42875          0.40123665   
      3100   324.47562     -68951.287      618.04092      425.07193      42875          0.40123665   
      3200   325.03603     -68946.856      619.10835     -1743.4206      42875          0.40123665   
      3300   324.57244     -68981.659      618.22533     -2830.0407      42875          0.40123665   
      3400   319.19246     -69031.406      607.9779      -4245.3473      42875          0.40123665   
      3500   291.60784     -69028.939      555.43643     -5644.2771      42875          0.40123665   
      3600   303.46055     -69050.449      578.01273      3515.6957      42875          0.40123665   
      3700   331.30444     -69081.898      631.04802     -569.79889      42875          0.40123665   
      3800   302.6461      -69065.198      576.46142     -603.51666      42875          0.40123665   
      3900   305.44345     -69097.291      581.78964     -883.98203      42875          0.40123665   
      4000   324.47577     -69140.231      618.04121     -3494.3399      42875          0.40123665   
      4100   312.12272     -69132.145      594.51188     -5405.2555      42875          0.40123665   
      4200   342.68134     -69209.392      652.71804      1774.1339      42875          0.40123665   
      4300   305.52111     -69201.736      581.93755      2212.3882      42875          0.40123665   
      4400   306.32395     -69234.191      583.46676      610.33031      42875          0.40123665   
      4500   329.06364     -69277.178      626.77989      913.9447       42875          0.40123665   
      4600   325.22289     -69277.304      619.46428     -2434.9896      42875          0.40123665   
      4700   315.81407     -69290.46       601.54293     -2186.2971      42875          0.40123665   
      4800   298.66546     -69291.572      568.87935     -1206.4448      42875          0.40123665   
      4900   330.72826     -69341.123      629.95056      2802.6062      42875          0.40123665   
      5000   318.24496     -69323.522      606.17315     -409.43645      42875          0.40123665   
      5100   320.41979     -69353.148      610.31562      31.96674       42875          0.40123665   
      5200   303.11204     -69369.303      577.34891     -1469.8868      42875          0.40123665   
      5300   293.6747      -69380.002      559.37325     -676.07642      42875          0.40123665   
      5400   312.44386     -69399.954      595.12358     -1313.8001      42875          0.40123665   
      5500   328.45081     -69414.197      625.61262      870.18187      42875          0.40123665   
      5600   324.17867     -69415.263      617.47531      847.78629      42875          0.40123665   
      5700   318.51694     -69455.172      606.6912       1303.4354      42875          0.40123665   
      5800   298.59989     -69458.301      568.75445     -364.36934      42875          0.40123665   
      5900   301.2943      -69448.599      573.8866      -2024.2244      42875          0.40123665   
      6000   328.80791     -69435.033      626.2928      -985.58465      42875          0.40123665   
      6100   343.44604     -69438.031      654.17459     -168.22713      42875          0.40123665   
      6200   319.85873     -69459.68       609.24696     -769.39558      42875          0.40123665   
      6300   301.69277     -69508.595      574.64557      89.752793      42875          0.40123665   
      6400   304.32498     -69530.898      579.65923     -429.65934      42875          0.40123665   
      6500   315.60314     -69524.952      601.14117     -1589.4133      42875          0.40123665   
      6600   329.49914     -69528.934      627.60942      501.13525      42875          0.40123665   
      6700   322.84655     -69549.235      614.93798      326.55991      42875          0.40123665   
      6800   301.41847     -69567.574      574.12309      155.29459      42875          0.40123665   
      6900   300.68829     -69575.3        572.73229      899.41224      42875          0.40123665   
      7000   321.47096     -69570.65       612.31783     -622.23534      42875          0.40123665   
      7100   334.92959     -69576.123      637.95299     -3124.4605      42875          0.40123665   
      7200   323.45945     -69602.754      616.10538     -1242.4055      42875          0.40123665   
      7300   303.4457      -69627.059      577.98443      780.92359      42875          0.40123665   
      7400   292.16381     -69616.033      556.49541     -1678.1114      42875          0.40123665   
      7500   320.29464     -69611.369      610.07725      363.28243      42875          0.40123665   
      7600   327.12669     -69576.3        623.09051     -2240.5716      42875          0.40123665   
      7700   324.07393     -69577.668      617.27581     -1098.3282      42875          0.40123665   
      7800   306.4538      -69574.598      583.71409     -3291.3106      42875          0.40123665   
      7900   309.72035     -69590.768      589.93599      756.63454      42875          0.40123665   
      8000   313.91773     -69587.276      597.9309       164.89823      42875          0.40123665   
      8100   338.78947     -69633.688      645.30504     -457.27245      42875          0.40123665   
      8200   312.56646     -69639.456      595.3571      -609.66929      42875          0.40123665   
      8300   306.00398     -69676.862      582.85729      553.1899       42875          0.40123665   
      8400   297.95045     -69678.092      567.51743     -1141.9511      42875          0.40123665   
      8500   318.6336      -69681.906      606.91341      331.06854      42875          0.40123665   
      8600   326.21024     -69668.176      621.34491      1570.0715      42875          0.40123665   
      8700   317.39416     -69656.376      604.55259      26.053031      42875          0.40123665   
      8800   310.68452     -69653.891      591.7725       266.41111      42875          0.40123665   
      8900   307.19571     -69650.733      585.12724     -383.39728      42875          0.40123665   
      9000   323.96806     -69680.14       617.07416      473.64778      42875          0.40123665   
      9100   316.4336      -69687.058      602.72298      414.84295      42875          0.40123665   
      9200   309.50756     -69707.166      589.53069      2236.0599      42875          0.40123665   
      9300   308.21493     -69714.732      587.06857      1746.0714      42875          0.40123665   
      9400   305.88326     -69677.331      582.62735      212.82593      42875          0.40123665   
      9500   329.11539     -69685.656      626.87847      691.51615      42875          0.40123665   
      9600   316.26895     -69674.936      602.40937      1057.5766      42875          0.40123665   
      9700   306.75541     -69678.989      584.28857      1076.8855      42875          0.40123665   
      9800   313.97327     -69704.15       598.0367       2186.6378      42875          0.40123665   
      9900   316.00095     -69724.884      601.89889      1082.436       42875          0.40123665   
     10000   310.98301     -69749.306      592.34105      860.83218      42875          0.40123665   
     10100   308.27277     -69777.713      587.17874     -787.19342      42875          0.40123665   
     10200   307.20102     -69792.444      585.13735      782.76176      42875          0.40123665   
     10300   307.52224     -69802.499      585.74917      457.02198      42875          0.40123665   
     10400   312.16622     -69804.81       594.59475      156.83781      42875          0.40123665   
     10500   326.57995     -69820.641      622.04912      2639.1659      42875          0.40123665   
     10600   308.04364     -69811.386      586.74232     -690.29866      42875          0.40123665   
     10700   311.10696     -69854.147      592.57713      366.70253      42875          0.40123665   
     10800   293.51772     -69836.356      559.07424      119.65031      42875          0.40123665   
     10900   322.73714     -69857.808      614.72958      131.36962      42875          0.40123665   
     11000   324.12934     -69843.132      617.38135     -859.49354      42875          0.40123665   
     11100   332.02443     -69885.13       632.41943      1213.8855      42875          0.40123665   
     11200   312.41783     -69894.2        595.07399      622.99002      42875          0.40123665   
     11300   312.52124     -69906.599      595.27097     -430.4085       42875          0.40123665   
     11400   322.78875     -69934.29       614.82788     -1001.6048      42875          0.40123665   
     11500   294.11272     -69911.507      560.20757     -261.07636      42875          0.40123665   
     11600   305.05917     -69919.097      581.05767     -30.163739      42875          0.40123665   
     11700   323.88493     -69907.589      616.91581      63.068512      42875          0.40123665   
     11800   309.21072     -69886.804      588.9653      -941.64227      42875          0.40123665   
     11900   319.21996     -69895.552      608.03027      401.03448      42875          0.40123665   
     12000   317.73957     -69874.477      605.21052      224.02058      42875          0.40123665   
     12100   341.36985     -69907.226      650.22         391.56573      42875          0.40123665   
     12200   325.55023     -69942.282      620.08776      522.89271      42875          0.40123665   
     12300   307.99798     -69936.057      586.65535      1875.4411      42875          0.40123665   
     12400   307.72893     -69926.012      586.14286     -897.41186      42875          0.40123665   
     12500   320.01296     -69908.242      609.54072     -146.52268      42875          0.40123665   
     12600   329.35563     -69908.983      627.33605     -550.24617      42875          0.40123665   
     12700   319.60114     -69911.064      608.75632     -190.34886      42875          0.40123665   
     12800   315.28768     -69943.823      600.5403      -198.4353       42875          0.40123665   
     12900   315.48373     -69966.595      600.91373     -317.78142      42875          0.40123665   
     13000   309.51015     -69946.854      589.53562     -1254.1114      42875          0.40123665   
     13100   323.04243     -69966.059      615.31106     -85.476202      42875          0.40123665   
     13200   304.27053     -69953.385      579.55553     -241.19387      42875          0.40123665   
     13300   302.43558     -69967.081      576.06043      116.95769      42875          0.40123665   
     13400   292.61714     -69952.255      557.35887      69.958134      42875          0.40123665   
     13500   313.58381     -69943.886      597.29487     -517.87966      42875          0.40123665   
     13600   318.241       -69931.139      606.16561      345.83519      42875          0.40123665   
     13700   324.39613     -69936.889      617.8895       243.9405       42875          0.40123665   
     13800   323.91083     -69968.366      616.96515      1216.235       42875          0.40123665   
     13900   306.57568     -69974.515      583.94623      847.63678      42875          0.40123665   
     14000   316.50412     -69991.691      602.8573       1233.5606      42875          0.40123665   
     14100   298.07944     -69969.302      567.76312     -959.91582      42875          0.40123665   
     14200   320.8895      -69994.67       611.21031      17.83847       42875          0.40123665   
     14300   343.03867     -70009.299      653.39867      1622.2981      42875          0.40123665   
     14400   319.44198     -70018.393      608.45317     -64.475708      42875          0.40123665   
     14500   305.58507     -70011.68       582.05937     -1091.3786      42875          0.40123665   
     14600   308.8531      -70001.15       588.28412      325.78723      42875          0.40123665   
