
# production run
fix		1 all nvt temp 330.0 330.0 10
fix 		2 all reaxff/species 1 2 20 species_R3_main.out cutoff 1 1 0.3 cutoff 1 2 0.3 cutoff 1 4 0.3 		cutoff 2 2 0.3 cutoff 2 4 0.3 cutoff 4 4 0.3 cutoff 3 3 0.8 cutoff 3 4 0.55 cutoff 3 1*2 0.3
WARNING: Resetting reneighboring criteria to 'delay 0 every 2 check no' due to fix reaxff/species averaging of bond data (src/REAXFF/fix_reaxff_species.cpp:128)
timestep	0.1
run		25000

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:

- pair reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 number =  {4--5},
 pages =   {245--259}
}

- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 pages =   {245--259}
}

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 2 steps, delay = 0 steps, check = no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Per MPI rank memory allocation (min/avg/max) = 33.5 | 34.09 | 34.73 Mbytes
   Step          Temp          PotEng         KinEng         Press          Volume        Density    
         0   330           -62032.95       628.56342      166121.51      42875          0.40123665   
       100   773.48386     -65500.772      1473.2838      47328.818      42875          0.40123665   
       200   1017.311      -67356.692      1937.7106      36676.891      42875          0.40123665   
       300   693.49364     -67824.512      1320.9234      8396.4328      42875          0.40123665   
       400   395.08896     -67892.696      752.54081     -5932.9029      42875          0.40123665   
       500   404.92324     -68257.318      771.27254     -8084.5987      42875          0.40123665   
       600   331.42747     -68393.802      631.28237      9178.3881      42875          0.40123665   
       700   302.6134      -68482.586      576.39914      4168.8217      42875          0.40123665   
       800   330.11142     -68582.402      628.77563      3982.5909      42875          0.40123665   
       900   350.52784     -68591.25       667.66357     -7677.9233      42875          0.40123665   
      1000   332.27582     -68569.799      632.89826     -2642.775       42875          0.40123665   
      1100   368.68554     -68734.847      702.24922     -6454.7037      42875          0.40123665   
      1200   302.10027     -68725.868      575.42174      3540.4264      42875          0.40123665   
      1300   286.71598     -68754.03       546.11871      3998.0176      42875          0.40123665   
      1400   340.64399     -68814.878      648.83742     -850.17639      42875          0.40123665   
      1500   349.95526     -68754.815      666.57294     -4095.1053      42875          0.40123665   
      1600   359.83977     -68794.786      685.40035     -6694.8716      42875          0.40123665   
      1700   335.61691     -68855.501      639.26216     -8190.1415      42875          0.40123665   
      1800   300.02329     -68879.733      571.46565     -2767.5702      42875          0.40123665   
      1900   322.52447     -68916.804      614.3245       1005.5615      42875          0.40123665   
      2000   339.38045     -68879.347      646.4307       830.95805      42875          0.40123665   
      2100   349.96196     -68854.705      666.58572     -2841.8061      42875          0.40123665   
      2200   346.2066      -68881.448      659.43273     -7173.7599      42875          0.40123665   
      2300   316.58416     -68908.403      603.00976     -3773.4129      42875          0.40123665   
      2400   316.12409     -68962.846      602.13345     -1435.5539      42875          0.40123665   
      2500   329.55542     -69002.315      627.71661      3469.4446      42875          0.40123665   
      2600   343.05773     -69015.285      653.43497     -2418.2728      42875          0.40123665   
      2700   340.26615     -69045.451      648.11774     -231.41341      42875          0.40123665   
      2800   317.85823     -69070.013      605.43653     -4645.215       42875          0.40123665   
      2900   329.84731     -69115.45       628.27257      1430.3033      42875          0.40123665   
      3000   310.80796     -69069.241      592.00761      2387.9051      42875          0.40123665   
      3100   354.89726     -69100.176      675.98616      2973.9423      42875          0.40123665   
      3200   340.3288      -69067.667      648.23707      794.46349      42875          0.40123665   
      3300   332.87443     -69082.151      634.03845      304.09565      42875          0.40123665   
      3400   338.11328     -69130.393      644.01708     -2462.8851      42875          0.40123665   
      3500   311.50127     -69120.719      593.32819     -1976.3966      42875          0.40123665   
      3600   326.49103     -69155.055      621.87974      4391.8593      42875          0.40123665   
      3700   343.84623     -69189.979      654.93685      3581.1606      42875          0.40123665   
      3800   335.27536     -69207.681      638.61159      88.732422      42875          0.40123665   
      3900   323.80383     -69245.606      616.76133     -2183.1944      42875          0.40123665   
      4000   341.52128     -69330.847      650.50843     -567.21068      42875          0.40123665   
      4100   316.67933     -69336.644      603.19104     -741.15282      42875          0.40123665   
      4200   329.33754     -69374.135      627.3016       1670.3847      42875          0.40123665   
      4300   336.35259     -69379.398      640.66342      766.29797      42875          0.40123665   
      4400   327.19943     -69359.211      623.22907     -2956.0503      42875          0.40123665   
      4500   345.94998     -69376.502      658.94393     -3115.5244      42875          0.40123665   
      4600   328.09293     -69351.549      624.93095     -2969.7414      42875          0.40123665   
      4700   320.76027     -69348.99       610.96416     -1755.1489      42875          0.40123665   
      4800   349.31025     -69408.184      665.34437     -1130.0851      42875          0.40123665   
      4900   329.90663     -69420.475      628.38556      582.52442      42875          0.40123665   
      5000   319.68181     -69455.241      608.90998     -1550.7196      42875          0.40123665   
      5100   302.7745      -69442.465      576.70598     -340.89722      42875          0.40123665   
      5200   325.45349     -69435.159      619.90351     -1684.601       42875          0.40123665   
      5300   356.64975     -69448.575      679.32419     -757.58998      42875          0.40123665   
      5400   337.5724      -69449.852      642.98685     -966.86155      42875          0.40123665   
      5500   310.84605     -69472.21       592.08016     -561.96877      42875          0.40123665   
      5600   306.9061      -69469.199      584.5756      -2204.8833      42875          0.40123665   
      5700   338.80625     -69471.415      645.33702      714.1846       42875          0.40123665   
      5800   353.84459     -69480.451      673.9811       121.35806      42875          0.40123665   
      5900   325.0244      -69493.968      619.0862      -620.55584      42875          0.40123665   
      6000   301.27853     -69509.328      573.85656     -1672.7232      42875          0.40123665   
      6100   324.58694     -69544.493      618.25297     -1104.21        42875          0.40123665   
      6200   338.25592     -69535.976      644.28878     -539.43666      42875          0.40123665   
      6300   337.27378     -69530.681      642.41805     -391.61223      42875          0.40123665   
      6400   330.10417     -69544.086      628.76183      130.14148      42875          0.40123665   
      6500   319.12562     -69543.989      607.85057     -1513.8768      42875          0.40123665   
      6600   316.85322     -69525.052      603.52225      1404.9731      42875          0.40123665   
      6700   341.34802     -69521.797      650.17841     -962.92706      42875          0.40123665   
      6800   349.67967     -69521.497      666.04802      1166.7163      42875          0.40123665   
      6900   336.73025     -69545.91       641.38278     -0.61618868     42875          0.40123665   
      7000   320.59675     -69563.441      610.65269     -176.04717      42875          0.40123665   
      7100   339.80349     -69614.902      647.23649     -1475.8771      42875          0.40123665   
      7200   331.07821     -69623.018      630.61712      1707.6297      42875          0.40123665   
      7300   317.56675     -69618.94       604.88134      1249.9577      42875          0.40123665   
      7400   326.7458      -69633.48       622.36501     -441.97162      42875          0.40123665   
      7500   337.56163     -69634.703      642.96634     -1429.7607      42875          0.40123665   
      7600   339.98078     -69630.013      647.57418      3.5712196      42875          0.40123665   
      7700   330.01597     -69631.506      628.59383     -486.93183      42875          0.40123665   
      7800   314.63653     -69622.892      599.30004      928.36655      42875          0.40123665   
      7900   328.62567     -69638.448      625.94568      2217.3406      42875          0.40123665   
      8000   342.84439     -69658.578      653.0286       862.80361      42875          0.40123665   
      8100   317.55        -69636.703      604.84944     -253.30439      42875          0.40123665   
      8200   322.12196     -69649.373      613.55782     -1255.5715      42875          0.40123665   
      8300   340.27898     -69653.243      648.14218     -347.00815      42875          0.40123665   
      8400   356.57183     -69682.104      679.17578     -1091.979       42875          0.40123665   
      8500   322.22705     -69683.612      613.75798      1566.8845      42875          0.40123665   
      8600   315.72282     -69699.22       601.36914     -564.00221      42875          0.40123665   
      8700   310.5748      -69648.617      591.5635      -885.47055      42875          0.40123665   
      8800   356.68242     -69659.181      679.38642     -459.02038      42875          0.40123665   
      8900   367.73649     -69664.599      700.44152     -530.10032      42875          0.40123665   
      9000   332.43053     -69678.323      633.19294     -424.06101      42875          0.40123665   
      9100   308.99641     -69687.974      588.55709      296.91226      42875          0.40123665   
      9200   311.95574     -69683.879      594.19383     -990.61533      42875          0.40123665   
      9300   335.61354     -69671.063      639.25574     -929.52139      42875          0.40123665   
      9400   349.06486     -69664.325      664.87696     -435.45062      42875          0.40123665   
      9500   336.15785     -69680.619      640.29251     -551.69407      42875          0.40123665   
